ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2666704,A,Winteraceae,,Austrodrimys,,"lanceolata",,"","(Poir.) Doweld",Unresolved,,L,WCSP (in review),798706,1014416-1,"Novosti Sist. Vyssh. Rast.","32: 38","","2000"
kew-2672871,A,Winteraceae,,Belliolum,,"burttianum",,"","A.C.Sm.",Unresolved,,L,WCSP (in review),804730,554311-1,"J. Arnold Arbor.","23: 439","","1942"
kew-2672873,A,Winteraceae,,Belliolum,,"gracile",,"","A.C.Sm.",Unresolved,,L,WCSP (in review),804732,554313-1,"J. Arnold Arbor.","23: 439","","1942"
kew-2672875,A,Winteraceae,,Belliolum,,"kajewskii",,"","A.C.Sm.",Unresolved,,L,WCSP (in review),804734,554315-1,"J. Arnold Arbor.","23: 440","","1942"
kew-2684604,A,Winteraceae,,Bubbia,,"amplexicaulis",,"","(Vieill. ex P.Parm.) Dandy",Unresolved,,L,WCSP (in review),816285,554320-1,"J. Bot.","72: 40","","1934"
kew-2684607,A,Winteraceae,,Bubbia,,"auriculata",,"","Tiegh.",Unresolved,,L,WCSP (in review),816288,554323-1,"J. Bot. (Morot)","14: 293","","1900"
kew-2684614,A,Winteraceae,,Bubbia,,"crassifolia",,"","(Baill.) B.L.Burtt",Unresolved,,L,WCSP (in review),816295,554330-1,"Hooker's Icon. Pl.","34: t. 3315, 2","","1936"
kew-2684615,A,Winteraceae,,Bubbia,,"deplanchei",,"","Tiegh.",Unresolved,,L,WCSP (in review),816296,554331-1,"J. Bot. (Morot)","14: 293","","1900"
kew-2684617,A,Winteraceae,,Bubbia,,"haplopus",,"","B.L.Burtt",Unresolved,,L,WCSP (in review),816298,554333-1,"Hooker's Icon. Pl.","34: t. 3315","","1936"
tro-100354488,A,Winteraceae,,Bubbia,,"howeana",,"","(F. Muell.) Tiegh.",Accepted,,M,TRO,100354488,,"","","",""
kew-2684619,A,Winteraceae,,Bubbia,,"idenburgensis",,"","A.C.Sm.",Unresolved,,L,WCSP (in review),816300,554335-1,"J. Arnold Arbor.","23: 432","","1942"
kew-2684624,A,Winteraceae,,Bubbia,,"monocarpa",,"","A.C.Sm.",Unresolved,,L,WCSP (in review),816305,554340-1,"J. Arnold Arbor.","23: 428","","1942"
kew-2684626,A,Winteraceae,,Bubbia,,"muelleri",,"","Tiegh.",Unresolved,,L,WCSP (in review),816307,554342-1,"J. Bot. (Morot)","14: 293","","1900"
kew-2684630,A,Winteraceae,,Bubbia,,"pancheri",,"","(Baill.) B.L.Burtt",Unresolved,,L,WCSP (in review),816311,554346-1,"Hooker's Icon. Pl.","34: t. 3315, 1","","1936"
kew-2684633,A,Winteraceae,×,Bubbia,,"perrieri",,"","Capuron",Unresolved,,L,WCSP (in review),816314,871214-1,"Adansonia","n.s., 3: 374","","1963"
kew-2684637,A,Winteraceae,,Bubbia,,"rivularis",,"","(Vieill. ex P.Parm.) B.L.Burtt",Unresolved,,L,WCSP (in review),816318,554350-1,"Hooker's Icon. Pl.","34: t. 3315, 2","","1936"
kew-2684644,A,Winteraceae,,Bubbia,,"vieillardii",,"","(Tiegh.) Guillaumin",Unresolved,,L,WCSP (in review),816325,554356-1,"Bull. Soc. Bot. France","89: 2","","1942"
kew-2777888,A,Winteraceae,,Drimys,,"andina",,"","(Reiche) R.A.Rodr. & Quezada",Accepted,,M,WCSP (in review),905953,963301-1,"Gayana, Bot.","48: 112","","1991"
kew-2777889,A,Winteraceae,,Drimys,,"angiensis",,"","Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),905954,554369-1,"Bot. Mag. (Tokyo)","57: 150","","1943"
kew-2777890,A,Winteraceae,,Drimys,,"angustifolia",,"","Miers",Accepted,,M,WCSP (in review),905955,554370-1,"Ann. Mag. Nat. Hist.","III, 2: 446","","1858"
