ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-53818,P,Woodsiaceae,×,Asplenicystopteris,,"blindii",,"","P.Fourn.",Unresolved,,L,IPNI,17370860-1,17370860-1,"Quatre Fl. France","10. 1934 {nomen}.","","1934"
ifn-53819,P,Woodsiaceae,×,Asplenicystopteris,,"payotii",,"","P.Fourn.",Unresolved,,L,IPNI,17370870-1,17370870-1,"Quatre Fl. France","11. 1934 {nomen}.","","1934"
tro-100362489,P,Woodsiaceae,,Cheilanthopsis,,"kangdingensis",,"","(H.S. Kung, L.B. Zhang & X.S. Guo) Shmakov",Accepted,,M,TRO,100362489,60435890-2,"Pterid. New Millen.","64","64","2003"
ifn-54979,P,Woodsiaceae,×,Cornoathyrium,,"cornopteroides",,"","Nakaike",Unresolved,,L,IPNI,17560210-1,17560210-1,"New Fl. Jap. Pterid.","840 (1992):","","1992"
ifn-54980,P,Woodsiaceae,×,Cornoathyrium,,"glabrescens",,"","Nakaike",Unresolved,,L,IPNI,17560220-1,17560220-1,"New Fl. Jap. Pterid.","840 (1992):","","1992"
ifn-54981,P,Woodsiaceae,×,Cornoathyrium,,"petiolulatum",,"","Nakaike",Unresolved,,L,IPNI,17560230-1,17560230-1,"New Fl. Jap. Pterid.","840 (1992):","","1992"
tro-100374764,P,Woodsiaceae,,Cystocarpium,×,"roskamianum",,"","Fraser-Jenk.",Unresolved,,L,TRO,100374764,77100225-1,"Taxon. Revis. Indian Subcontinental Pteridophytes","207","207","2008"
ifn-55323,P,Woodsiaceae,×,Depazium,,"lobatocrenatum",,"","Nakaike",Unresolved,,L,IPNI,17560330-1,17560330-1,"New Fl. Jap. Pterid.","840 (1992):","","1992"
ifn-55324,P,Woodsiaceae,×,Depazium,,"tomitaroanum",,"","Nakaike",Unresolved,,L,IPNI,17560340-1,17560340-1,"New Fl. Jap. Pterid.","840 (1992):","","1992"
ifn-55325,P,Woodsiaceae,×,Depazium,,"zeylanicum",,"","Nakaike",Unresolved,,L,IPNI,17560350-1,17560350-1,"New Fl. Jap. Pterid.","840 (1992):","","1992"
ifn-56412,P,Woodsiaceae,,Eriosoriopsis,,"rosthorniana",,"","Ching & S.H.Wu",Unresolved,,L,IPNI,17543310-1,17543310-1,"in S.H. Wu & R.C. Ching, Fern Fam. & Gen. China","402 (1991), without bas. ref.:","","1991"
ifn-56416,P,Woodsiaceae,,Filicula,,"douglasii",,"","Farw.",Unresolved,,L,IPNI,17331492-1,17331492-1,"Amer. Midl. Naturalist","12. 234. 251. 1931","","1931"
tro-100353805,P,Woodsiaceae,,Hymenocystis,,"caucasia",,"","C.A. Mey.",Unresolved,,L,TRO,100353805,,"Verz. Pfl. Cauc.","229","229","1831"
ifn-56473,P,Woodsiaceae,,Hymenocystis,,"caucasica",,"","Meyer",Unresolved,,L,IPNI,17121120-1,17121120-1,"Verz. Pl. Cauc.","229. 1831","","1831"
ifn-56474,P,Woodsiaceae,,Hymenocystis,,"fragilis",,"","Askerov",Unresolved,,L,IPNI,17534980-1,17534980-1,"Izv. Akad. Nauk Az. SSR, Biol. Nauk","1986(3): 52 (1986):","","1986"
ifn-56653,P,Woodsiaceae,×,Neotribleparia,,"lobatocrenata",,"","Nakaike",Unresolved,,L,IPNI,60433527-2,60433527-2,"J. Nippon Fernist Club","3(Suppl. 2): 128","","2004 [Feb. 2004]"
ifn-56654,P,Woodsiaceae,×,Neotribleparia,,"tomitaroana",,"","Nakaike",Unresolved,,L,IPNI,60433528-2,60433528-2,"J. Nippon Fernist Club","3(Suppl. 2): 128","","2004 [Feb. 2004]"
ifn-56730,P,Woodsiaceae,,Physematium,,"cumingianum",,"","Kunze",Unresolved,,L,IPNI,17176970-1,17176970-1,"Anal.","43. 1837","","1837"
ifn-56731,P,Woodsiaceae,,Physematium,,"elongatum",,"","Trev.",Unresolved,,L,IPNI,17176980-1,17176980-1,"Nuovo Giorn. Bot. Ital.","7. 161. 1875.","","1875"
ifn-56732,P,Woodsiaceae,,Physematium,,"europolepis",,"","Trev.",Unresolved,,L,IPNI,17176990-1,17176990-1,"Nuovo Giorn. Bot. Ital.","7. 155. 1875.","","1875"
ifn-56733,P,Woodsiaceae,,Physematium,,"fragile",,"","Kunze",Unresolved,,L,IPNI,17177000-1,17177000-1,"Anal.","42. 1837.","","1837"
ifn-56734,P,Woodsiaceae,,Physematium,,"incisum",,"","C.Presl",Unresolved,,L,IPNI,17177010-1,17177010-1,"Tent. Pterid.","66. 1836","","1836"
ifn-56735,P,Woodsiaceae,,Physematium,,"manchuriense",,"","Nakai",Unresolved,,L,IPNI,17345500-1,17345500-1,"Bot. Mag. (Tokyo)","39. 176. 1925.","","1925"
tro-26604062,P,Woodsiaceae,,Physematium,,"obtusum",,"","Hook.",Unresolved,,L,TRO,26604062,17177030-1,"Fl. Bor.-Amer.","2: 259","259","1840"
tro-26603589,P,Woodsiaceae,,Physematium,,"oreganum",,"","Trevis.",Unresolved,,L,TRO,26603589,,"Nuovo Giorn. Bot. Ital.","7: 162","162","1875"
ifn-56739,P,Woodsiaceae,,Physematium,,"perrinianum",,"","C.Presl",Unresolved,,L,IPNI,17177050-1,17177050-1,"Tent. Pterid.","66. 1836","","1836"
ifn-56740,P,Woodsiaceae,,Physematium,,"philippinum",,"","C.Presl",Unresolved,,L,IPNI,17177060-1,17177060-1,"Epimel. Bot.","34","","1851 [Oct 1851]"
tro-50071008,P,Woodsiaceae,,Physematium,,"polystichoides",,"","(D.C. Eaton) Trevis.",Accepted,,M,TRO,50071008,,"Nuovo Giorn. Bot. Ital.","7: 161","161","1875"
ifn-88655,P,Woodsiaceae,,Physematium,,"pubescens",,"","Bevis",Unresolved,,L,IPNI,17531530-1,17531530-1,"Hort. Brit. [Loudon], ed. 3.","656","","1839"
tro-26603590,P,Woodsiaceae,,Physematium,,"scopulinium",,"","Trevis.",Unresolved,,L,TRO,26603590,,"Nuovo Giorn. Bot. Ital.","7: 161","161","1875"
ifn-56743,P,Woodsiaceae,,Physematium,,"scopulinum",,"","Trev.",Unresolved,,L,IPNI,17177080-1,17177080-1,"Nuovo Giorn. Bot. Ital.","7. 161. 1875.","","1875"
ifn-56744,P,Woodsiaceae,,Physematium,,"vestitum",,"","C.Presl",Unresolved,,L,IPNI,17177090-1,17177090-1,"Epimel. Bot.","66","","1851 [Oct 1851]"
tro-26602656,P,Woodsiaceae,,Woodsia,×,"abbeae",,"","Butters",Unresolved,,L,TRO,26602656,290522-2,"Amer. Fern J.","31: 18","18","1941"
tro-26613672,P,Woodsiaceae,,Woodsia,,"acuminata",,"","Sipliv.",Accepted,,M,TRO,26613672,17463940-1,"Novosti Sist. Vyssh. Rast.","11: 327","327","1974"
tro-26602657,P,Woodsiaceae,,Woodsia,,"alpina",,"","(Bolton) Gray",Accepted,,M,TRO,26602657,17234640-1,"Nat. Arr. Brit. Pl.","2: 17","17","1821"
tro-26626086,P,Woodsiaceae,,Woodsia,,"alpina",subsp.,"bellii","(Lawson) Á. Löve & D. Löve",Accepted,,L,TRO,26626086,269077-2,"Taxon","26(2/3): 326","326","1977"
ifn-57038,P,Woodsiaceae,,Woodsia,,"alpina x ilvensis",,"","Rosendahl",Unresolved,,L,IPNI,17290320-1,17290320-1,"Svensk Bot. Tidskr.","9: 408, f. 1, 3","","1915"
tro-26624083,P,Woodsiaceae,,Woodsia,,"andersonii",,"","(Bedd.) Christ",Accepted,,M,TRO,26624083,17234660-1,"Bull. Soc. Bot. France: Mem.","1: 45","45","1905"
tro-26604446,P,Woodsiaceae,,Woodsia,,"angolensis",,"","Schelpe",Accepted,,M,TRO,26604446,,"","","",""
tro-26605112,P,Woodsiaceae,,Woodsia,,"appalachiana",,"","T.M.C. Taylor",Accepted,,M,TRO,26605112,311897-2,"Amer. Fern J.","37: 88","88","1947"
ifn-56872,P,Woodsiaceae,,Woodsia,,"asiatica",,"","Kiselev & Shmakov",Unresolved,,L,IPNI,60444939-2,60444939-2,"Obzor Vidov. Sem. Woodsiaceae Evraz.","40 (-41; fig. 16 (map)","","1995"
tro-50071012,P,Woodsiaceae,,Woodsia,,"brandtii",,"","Franch. & Sav.",Unresolved,,L,TRO,50071012,,"Enum. Pl. Jap.","2: 205, 616–617","205","1877"
ifn-56876,P,Woodsiaceae,,Woodsia,,"brownii",,"","Mett.",Unresolved,,L,IPNI,17234690-1,17234690-1,"Fil. Hort. Bot. Lips.","98","","1856 [May-Jun 1856]"
tro-26601304,P,Woodsiaceae,,Woodsia,,"burgessiana",,"","Gerrard",Accepted,,M,TRO,26601304,,"Syn. Fil.","48","48","1866"
ifn-56878,P,Woodsiaceae,,Woodsia,,"calcarea",,"","Shmakov",Unresolved,,L,IPNI,60444937-2,60444937-2,"Obzor Vidov. Sem. Woodsiaceae Evraz.","29","","1930"
tro-50210382,P,Woodsiaceae,,Woodsia,,"canescens",,"","(Kunze) Mett.",Accepted,,M,TRO,50210382,,"Nuev. Jen. Esp.","331","331","1854"
ifn-56881,P,Woodsiaceae,,Woodsia,,"caucasica",,"","J.Sm.",Unresolved,,L,IPNI,17234720-1,17234720-1,"J. Bot. (Hooker)","4: 191","","1841"
tro-26619338,P,Woodsiaceae,,Woodsia,,"cinnamomea",,"","Christ",Accepted,,M,TRO,26619338,,"Bull. Acad. Int. Géogr. Bot.","16(199–200–201): 122","122","1906"
tro-26608838,P,Woodsiaceae,,Woodsia,,"cochisensis",,"","Windham",Accepted,,M,TRO,26608838,305238-2,"Contr. Univ. Michigan Herb.","19: 54, f. 7","54","1993"
tro-26605259,P,Woodsiaceae,,Woodsia,,"confusa",,"","T.M.C. Taylor",Unresolved,,L,TRO,26605259,269083-2,"Amer. Fern J.","37: 87","87","1947"
ifn-56889,P,Woodsiaceae,,Woodsia,,"cumingiana",,"","Hook.",Unresolved,,L,IPNI,17234740-1,17234740-1,"Sp. Fil.","1. 61. 1844","","1844"
tro-26610194,P,Woodsiaceae,,Woodsia,,"cycloloba",,"","Hand.-Mazz.",Accepted,,M,TRO,26610194,17365170-1,"Symb. Sin.","6: 19, pl. 1, f. 5","19","1929"
tro-50272919,P,Woodsiaceae,,Woodsia,,"cystopteroides",,"","Windham & Mickel",Accepted,,M,TRO,50272919,77095279-1,"Mem. New York Bot. Gard.","88: 688–689, f. 325F–H, J, K","688","2004"
tro-26624493,P,Woodsiaceae,,Woodsia,,"elongata",,"","Hook.",Accepted,,M,TRO,26624493,17234770-1,"Sp. Fil.","1: 62, t. 21 C","62","1844"
ifn-56896,P,Woodsiaceae,,Woodsia,,"europolepis",,"","Trevis.",Unresolved,,L,IPNI,17234780-1,17234780-1,"Rend. Ist. Lombardo","II. 9. 812. 1876","","1876"
tro-26602658,P,Woodsiaceae,,Woodsia,,"glabella",,"","R. Br. ex Richardson",Accepted,,M,TRO,26602658,,"Narr. Journey Polar Sea","754","754","1823"
tro-100362476,P,Woodsiaceae,,Woodsia,,"glabella",subsp.,"asplenioides","(Rupr.) Stepanov",Accepted,,L,TRO,100362476,17562360-1,"Sibirsk. Biol. Žurn.","1993(1): 47","47","1993"
tro-100362478,P,Woodsiaceae,,Woodsia,,"glabella",subsp.,"pinnatifida","(Fomin) Stepanov",Accepted,,L,TRO,100362478,17562370-1,"Sibirsk. Biol. Žurn.","1993(1): 47","47","1993"
ifn-57039,P,Woodsiaceae,,Woodsia,,"glabella x ilvensis",,"","Tryon",Unresolved,,L,IPNI,17424950-1,17424950-1,"Amer. Fern J.","38: 167","","1949"
ifn-88691,P,Woodsiaceae,,Woodsia,,"gorovoii",,"","Krestsch. & Shmakov",Unresolved,,L,IPNI,77114264-1,77114264-1,"Turczaninowia","10(1): 9 (-12; fig.)","","2007 [28 May 2007]"
tro-26602659,P,Woodsiaceae,,Woodsia,×,"gracilis",,"","Butters",Accepted,,M,TRO,26602659,290519-2,"Amer. Fern J.","31: 15","15","1941"
tro-26611990,P,Woodsiaceae,,Woodsia,,"hancockii",,"","Baker",Accepted,,M,TRO,26611990,17234840-1,"Ann. Bot. (Oxford)","5(18): 196–197","196","1891"
ifn-56913,P,Woodsiaceae,,Woodsia,,"heterophylla",,"","Shmakov",Unresolved,,L,IPNI,60445046-2,60445046-2,"Obzor Vidov. Sem. Woodsiaceae Evraz.","54","","1995"
tro-26624540,P,Woodsiaceae,,Woodsia,,"himalaica",,"","Ching & S.K. Wu",Accepted,,M,TRO,26624540,17505900-1,"Fl. Xizang.","1: 189–190, t. 5, f. 9–10","189","1983"
tro-26602660,P,Woodsiaceae,,Woodsia,,"ilvensis",,"","(L.) R. Br.",Accepted,,M,TRO,26602660,,"Trans. Linn. Soc. London","11: 173","173","1815"
ifn-56927,P,Woodsiaceae,,Woodsia,,"incisa",,"","Gillies ex Hook. & Grev.",Unresolved,,L,IPNI,17234870-1,17234870-1,"Icon. Filic.","t. 191","","1830"
