ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-329629,A,Xanthorrhoeaceae,,Agrostocrinum,,"hirsutum",,"","(Lindl.) Keighery",Accepted,,H,WCSP,329629,77066087-1,"Nuytsia","15: 250","","2004"
kew-294389,A,Xanthorrhoeaceae,,Agrostocrinum,,"scabrum",,"","(R.Br.) Baill.",Accepted,,H,WCSP,294389,527301-1,"Bull. Mens. Soc. Linn. Paris","2: 1119","","1893"
kew-297005,A,Xanthorrhoeaceae,,Aloe,,"aageodonta",,"","L.E.Newton",Accepted,,H,WCSP,297005,972247-1,"Cact. Succ. J. (Los Angeles)","65: 138","","1993"
kew-297006,A,Xanthorrhoeaceae,,Aloe,,"abyssicola",,"","Lavranos & Bilaidi",Accepted,,H,WCSP,297006,529166-1,"Cact. Succ. J. (Los Angeles)","43: 206","","1971"
kew-297007,A,Xanthorrhoeaceae,,Aloe,,"abyssinica",,"","Lam.",Unresolved,,L,WCSP,297007,529167-1,"Encycl.","1: 86","","1783"
kew-297013,A,Xanthorrhoeaceae,,Aloe,,"aculeata",,"","Pole-Evans",Accepted,,H,WCSP,297013,529169-1,"Trans. Roy. Soc. South Africa","5: 34","","1915"
kew-297017,A,Xanthorrhoeaceae,,Aloe,,"acutissima",,"","H.Perrier",Accepted,,H,WCSP,297017,529172-1,"Mém. Soc. Linn. Normandie, Bot.","1: 17","","1926"
kew-297019,A,Xanthorrhoeaceae,,Aloe,,"adigratana",,"","Reynolds",Accepted,,H,WCSP,297019,529173-1,"J. S. African Bot.","23: 1","","1957"
kew-297021,A,Xanthorrhoeaceae,,Aloe,,"affinis",,"","A.Berger",Accepted,,H,WCSP,297021,,"Pflanzenr.","IV, 38: 206","","1908"
tro-18402246,A,Xanthorrhoeaceae,,Aloe,,"affinis",,"","Berger",Unresolved,,L,TRO,18402246,,"","","",""
kew-297022,A,Xanthorrhoeaceae,,Aloe,,"africana",,"","Mill.",Accepted,,H,WCSP,297022,529176-1,"Gard. Dict. ed. 8","4","","1768"
kew-297027,A,Xanthorrhoeaceae,,Aloe,,"ahmarensis",,"","Favell, M.B.Mill. & Al-Gifri",Accepted,,H,WCSP,297027,1010783-1,"Cact. Succ. J. (Los Angeles)","71: 257","","1999"
kew-297029,A,Xanthorrhoeaceae,,Aloe,,"albida",,"","(Stapf) Reynolds",Accepted,,H,WCSP,297029,529182-1,"J. S. African Bot.","13: 101","","1947"
kew-297030,A,Xanthorrhoeaceae,,Aloe,,"albiflora",,"","Guillaumin",Accepted,,H,WCSP,297030,529183-1,"Bull. Mus. Natl. Hist. Nat.","II, 12: 353","","1940"
kew-372171,A,Xanthorrhoeaceae,,Aloe,,"albostriata",,"","T.A.McCoy, Rakouth & Lavranos",Accepted,,H,WCSP,372171,77088051-1,"Kakteen And. Sukk.","59: 43","","2008"
kew-297034,A,Xanthorrhoeaceae,,Aloe,,"albovestita",,"","S.Carter & Brandham",Accepted,,H,WCSP,297034,901421-1,"Bradleya","1: 20","","1983"
kew-297035,A,Xanthorrhoeaceae,,Aloe,,"aldabrensis",,"","(Marais) L.E.Newton & G.D.Rowley",Accepted,,H,WCSP,297035,995331-1,"Excelsa","17: 59","","1996"
kew-345846,A,Xanthorrhoeaceae,,Aloe,,"alexandrei",,"","Ellert",Accepted,,H,WCSP,345846,77078400-1,"Cact. Succ. J. (Los Angeles)","78: 11","","2006"
kew-297036,A,Xanthorrhoeaceae,,Aloe,,"alfredii",,"","Rauh",Accepted,,H,WCSP,297036,940364-1,"Cact. Succ. J. (Los Angeles)","62: 232","","1990"
kew-297037,A,Xanthorrhoeaceae,,Aloe,,"alooides",,"","(Bolus) Druten",Accepted,,H,WCSP,297037,529187-1,"Bothalia","6: 544","","1956"
tro-50331578,A,Xanthorrhoeaceae,,Aloe,,"amaniensis",,"","A. Berger",Unresolved,,L,TRO,50331578,,"","","",""
kew-297040,A,Xanthorrhoeaceae,,Aloe,,"ambigens",,"","Chiov.",Accepted,,H,WCSP,297040,529190-1,"Pl. Nov. Aethiop.","6","","1928"
kew-372185,A,Xanthorrhoeaceae,,Aloe,,"ambositrae",,"","J.-P.Castillon",Accepted,,H,WCSP,372185,77088683-1,"Cact. World","26: 32","","2008"
kew-345847,A,Xanthorrhoeaceae,,Aloe,,"ambrensis",,"","J.-B.Castillon",Accepted,,H,WCSP,345847,,"Cact. World","25: 12","","2007"
kew-297042,A,Xanthorrhoeaceae,,Aloe,,"amicorum",,"","L.E.Newton",Accepted,,H,WCSP,297042,958868-1,"Cact. Succ. J. (Los Angeles)","63: 80","","1991"
kew-371891,A,Xanthorrhoeaceae,,Aloe,,"ampefyana",,"","J.-B.Castillon",Accepted,,H,WCSP,371891,,"Haseltonia","13: 26","","2007"
kew-297045,A,Xanthorrhoeaceae,,Aloe,,"amudatensis",,"","Reynolds",Accepted,,H,WCSP,297045,529194-1,"J. S. African Bot.","22: 136","","1956"
kew-297047,A,Xanthorrhoeaceae,,Aloe,,"andongensis",,"","Baker",Accepted,,H,WCSP,297047,529195-1,"Trans. Linn. Soc. London, Bot.","1: 263","","1878"
kew-297049,A,Xanthorrhoeaceae,,Aloe,,"andringitrensis",,"","H.Perrier",Accepted,,H,WCSP,297049,529196-1,"Mém. Soc. Linn. Normandie, Bot.","1: 41","","1926"
kew-297050,A,Xanthorrhoeaceae,,Aloe,,"angelica",,"","Pole-Evans",Accepted,,H,WCSP,297050,529197-1,"Fl. Pl. South Africa","14: 554","","1934"
kew-297056,A,Xanthorrhoeaceae,,Aloe,,"angusta",,"","Schult. & Schult.f.",Unresolved,,L,WCSP,297056,529201-1,"Syst. Veg.","7: 710","","1829"
kew-297060,A,Xanthorrhoeaceae,,Aloe,,"anivoranoensis",,"","(Rauh & Hebding) L.E.Newton & G.D.Rowley",Accepted,,H,WCSP,297060,1004597-1,"Bradleya","16: 114","","1998"
kew-297061,A,Xanthorrhoeaceae,,Aloe,,"ankaranensis",,"","Rauh & Mangelsdorff",Accepted,,H,WCSP,297061,1016454-1,"Kakteen And. Sukk.","51: 274","","2000"
