"Pest","intercept","Std..Error","z.value","Pr...z..","X2.5..","X97.5..","slope","Std..Error.1","z.value.1","Pr...z...1","X2.5...1","X97.5...1"
"Bacterium",5.01905923091543,11.6171084390137,0.645137525249038,0.451775345506098,-17.7500549140477,27.7881733758786,-2.84260250969566,4.80544678094392,-1.34011062156309,0.214635946151777,-12.2611051299697,6.57590011057834
"Fungus",1031.86805366976,26026.8408077234,0.673279834519047,0.481178828557881,-49979.8025608254,52043.538668165,-368.572628879598,9335.058588589,-1.05333522959111,0.346392947794689,-18664.9512560853,17927.8059983261
"Insect",-157705540258.712,48646.8339159542,-2483.36821973038,0.52561246605932,-157705635604.754,-157705444912.669,-70801448985.3117,17849.3764924917,-2750.11281589203,0.272240181926247,-70801483969.4469,-70801414001.1767
"Mite",121.031133811717,3072.40176935914,0.636067188066585,0.506210679857548,-5900.76568016934,6142.82794779278,-50.3346251562905,1301.67712779982,-1.20588172317073,0.30219689766002,-2601.57491514348,2500.9056648309
"Mollusk",2826.46135364494,125977.782405698,0.558939947483225,0.512030610000022,-244085.455013748,249738.377721037,-1052.48658341356,46326.2317333113,-1.32855297305146,0.247074691460263,-91850.2323201601,89745.259153333
"Nematode",200.116985407457,3607.60668347923,0.581542962616628,0.493311140800482,-6870.66218459781,7270.89615541273,-83.0209683710222,1480.21464305208,-1.51908408647318,0.172983472119976,-2984.18835814191,2818.14642139986
"Phytoplasma",4.92895529731005,19.1554779292083,0.67249495348606,0.433380594115847,-32.6150915505902,42.4730021452102,-3.07660699434097,7.90734378159208,-1.54370572792516,0.172853581609542,-18.5747160196382,12.4215020309563
"Viroid",11.895749208027,32.0732751311271,0.778697645313952,0.468914058957374,-50.9667149152264,74.7582133312804,-6.46086614166617,13.2516913479261,-1.74182646376592,0.139769660241755,-32.4337039178423,19.51197163451
"Virus",2.47998038330837,41.6723192245106,0.609980743972197,0.47113916533559,-79.1962644489886,84.1562252156053,-2.09822524237885,28.9998275034468,-1.69185680659224,0.130714797853105,-58.9368427070087,54.740392222251
"Weed",3.41928417243571,6.39012990834327,0.54356501241928,0.521113642082711,-9.10514030444932,15.9437086493207,-2.34064122299779,2.65825725755348,-1.45787126097612,0.211296545671154,-7.55072970944483,2.86944726344925
