"pd","t88","t164","t9","t139","t191","t278","t281","t169","t93","t184","t77","t30","t197","t243","t201","t248","t110","t224","t287","t111","t226","t138","t210","t27","t22","t275","t300","t249","t15","t78","t295","t255","t92","t60","t253","t52","t106","t4","t91","t230","t130","t80","t85","t121","t145","t229","t190","t142","t289"
0,0.531584598662049,0.497330897024653,0.988428978415971,0.389724438145902,0.389724438145902,0.123298403566921,0.0285597143571113,0.209703934371348,0.98545466338909,0.977749162006465,0.0590251810956653,0.953471656409519,0.953471656409519,0.375599555191843,0.0646501251258678,0.0646501251258678,0.0193292283464965,0.075695885150519,0.95583222226654,0.476261282088282,0.476261282088284,0.409959428751066,0.409959428751069,0.873020098865902,0.356087902675884,0.281816972052833,0.281816972052834,0.925298407625753,0.989876867513857,0.989876867513857,0.953895703789279,0.95389570378928,0.948693476349699,0.948693476349699,0.983191749492838,0.983191749492838,0.499530444407981,0.499530444407981,0.0733670500628566,0.974704142488944,0.974704142488943,0.494975009687939,0.494975009687939,0.59110999623693,0.591109996236931,0.590983038214262,0.590983038214262,0.916878409582122,0.916878409582122
1,0.470672431069813,0.441341076603796,0.972648265247477,0.349396736486492,0.349396736486492,0.128684368835013,0.0374907855780281,0.202581562583456,0.966819772148935,0.952353981796646,0.069158793292225,0.912675981160146,0.912675981160147,0.338703685718056,0.0746739812509988,0.0746739812509988,0.0268292354186287,0.0849113262027503,0.915779107390871,0.418815268608869,0.418815268608871,0.366854631689853,0.366854631689855,0.804662373759402,0.322735584621361,0.261714865372495,0.261714865372496,0.870895967085842,0.975590664088924,0.975590664088924,0.912746235859383,0.912746235859383,0.905356848233694,0.905356848233694,0.962521372314547,0.962521372314547,0.437907760694413,0.437907760694413,0.0827016381163306,0.946956540813535,0.946956540813533,0.434060112286453,0.434060112286453,0.516599018677895,0.516599018677896,0.516481634779145,0.516481634779145,0.859285155158898,0.859285155158898
2,0.435327371808474,0.40917817216348,0.955152310788746,0.326728319356108,0.326728319356107,0.131927044371208,0.0439029255319319,0.198499650493256,0.946772384810965,0.926514518214124,0.0758113904528448,0.875762992686619,0.87576299268662,0.317964264555718,0.0811820209327659,0.0811820209327659,0.0324589186298126,0.0907633852266763,0.879078110739739,0.386106490778255,0.386106490778257,0.342547020841451,0.342547020841453,0.75325607358428,0.304005399132974,0.250394142830394,0.250394142830395,0.825406548343896,0.959484952092255,0.959484952092255,0.87530332883903,0.875303328839031,0.866769784610953,0.866769784610953,0.940714459335874,0.940714459335873,0.402610592762687,0.402610592762687,0.0886514490745402,0.919242546221563,0.91924254622156,0.399214261102796,0.399214261102796,0.472448578674745,0.472448578674746,0.472339472014048,0.472339472014048,0.81206345396005,0.81206345396005
3,0.410621429907436,0.386804178846008,0.936723383779355,0.311114669818371,0.311114669818371,0.134269573189716,0.0490736565048215,0.195641210267887,0.926100945550524,0.900912244489559,0.0808826292361351,0.84203694359002,0.842036943590021,0.3036695092898,0.0861089351572658,0.0861089351572658,0.0371291691223315,0.0951332101704037,0.845283471373739,0.363489354162576,0.363489354162577,0.325779672556047,0.325779672556049,0.711659365282807,0.291094928349843,0.242562360609253,0.242562360609254,0.786035712400503,0.942317988975053,0.942317988975053,0.840991806826761,0.840991806826762,0.831901435220214,0.831901435220214,0.918537246992505,0.918537246992504,0.378143145905795,0.378143145905795,0.0931045475501571,0.892140092590187,0.892140092590184,0.375074204118312,0.375074204118312,0.4413425969347,0.4413425969347,0.441240313860281,0.441240313860281,0.771722025026953,0.771722025026954
4,0.391757173426618,0.369767597063851,0.917793943551717,0.299290635660851,0.299290635660851,0.136110699840186,0.0534769370983573,0.193445561841472,0.90522247283413,0.875861240356496,0.0850272581855895,0.81102909677075,0.811029096770751,0.292835343998473,0.0901154320311929,0.0901154320311929,0.0411901715943878,0.0986514095591599,0.814044693665778,0.346346969002954,0.346346969002956,0.313071587814388,0.31307158781439,0.67667947168933,0.281306693902597,0.23660332051305,0.236603320513051,0.751299291801653,0.924517755732275,0.924517755732275,0.809392508777787,0.809392508777789,0.800112246404871,0.800112246404871,0.896380719082717,0.896380719082716,0.359576143163318,0.359576143163318,0.0966958219030294,0.865891915659869,0.865891915659865,0.356761713345683,0.356761713345683,0.41751551013139,0.417515510131391,0.417418944441046,0.417418944441046,0.736470262189013,0.736470262189014
5,0.376577697954952,0.356082439152295,0.898642221171754,0.289823537043131,0.289823537043131,0.137630757587529,0.0573488070436305,0.191665529963509,0.884393163653865,0.851524220672011,0.0885556894480054,0.78238367927589,0.782383679275891,0.284153515908857,0.0935128475813882,0.0935128475813882,0.0448205874178046,0.101611531387929,0.785072320267221,0.332628486665998,0.332628486665999,0.302891673698508,0.30289167369851,0.646529252593787,0.273459591174324,0.231809974321691,0.231809974321692,0.720250604387049,0.906365452673917,0.906365452673917,0.780173086905223,0.780173086905225,0.770942839001732,0.770942839001732,0.874475721423989,0.874475721423988,0.344709007746724,0.344709007746724,0.0997214138906831,0.840606551470284,0.84060655147028,0.342101251326061,0.342101251326061,0.398324111506742,0.398324111506743,0.398232429284559,0.398232429284559,0.705196836578737,0.705196836578737
6,0.363928674040588,0.34469142131876,0.879460401861686,0.281959134168584,0.281959134168584,0.138927055624334,0.0608263285486019,0.190170305134527,0.863781251736606,0.827985894999475,0.0916415084280925,0.755816117465057,0.755816117465058,0.276935543611146,0.0964744804985861,0.0964744804985861,0.0481261141100361,0.104175469923441,0.758122138195282,0.321245928429747,0.321245928429748,0.294432569317686,0.294432569317688,0.620082923352259,0.266932499249679,0.227810473591924,0.227810473591925,0.692227701478098,0.888059685779797,0.888059685779796,0.753060321776128,0.75306032177613,0.74404015653444,0.74404015653444,0.852966932002483,0.852966932002482,0.332370500710126,0.332370500710126,0.102344899898909,0.8163258091872,0.816325809187195,0.329935709618312,0.329935709618312,0.382335833945233,0.382335833945233,0.382248392526315,0.382248392526315,0.677141762996829,0.677141762996829
7,0.353120895008953,0.334965719805014,0.860386255751273,0.275252478509857,0.275252478509857,0.140058222587599,0.0639971461618506,0.188882310558762,0.84350060416153,0.805286085565398,0.0943923598637422,0.731092009117712,0.731092009117713,0.270775325017264,0.0991073957252209,0.0991073957252209,0.0511753830036721,0.106442499889126,0.732985454841698,0.311554142011619,0.31155414201162,0.287217424099336,0.287217424099338,0.596576444819392,0.261359207307757,0.224385467499455,0.224385467499456,0.666741115652585,0.869746295995969,0.869746295995969,0.727824957924335,0.727824957924337,0.719122134193842,0.719122134193842,0.831946770270185,0.831946770270184,0.321864481536878,0.321864481536877,0.104666711079179,0.793054791463655,0.79305479146365,0.319577693259749,0.319577693259749,0.368687768861141,0.368687768861141,0.368604060899738,0.368604060899738,0.651753376217628,0.651753376217628
8,0.343710453103721,0.326501527833658,0.841520422078842,0.269419614579195,0.269419614579195,0.141062372928542,0.0669211706500691,0.187751782529946,0.823628940448718,0.783437182074832,0.0968799404071572,0.708014572847557,0.708014572847558,0.265413694839742,0.101482679030164,0.101482679030164,0.0540159237131185,0.108478122060968,0.70948229909954,0.30313991064315,0.303139910643151,0.280941647598656,0.280941647598658,0.575463689157509,0.25650606884198,0.221394905506158,0.221394905506159,0.643414921730113,0.851534693524849,0.851534693524849,0.704271984784147,0.704271984784149,0.69595765479535,0.69595765479535,0.811473647568809,0.811473647568807,0.312744304130598,0.312744304130598,0.106753180600115,0.770777422606349,0.770777422606344,0.310586336841904,0.310586336841904,0.356820544704229,0.35682054470423,0.35674016098105,0.35674016098105,0.628614552213084,0.628614552213084
9,0.335395002767245,0.319024467010431,0.822936924992458,0.264268546758461,0.264268546758461,0.141965707962596,0.069641415365222,0.186744905395786,0.804218801886632,0.762434269146006,0.0991545788154631,0.686416349493523,0.686416349493524,0.260675404335743,0.103650094413498,0.103650094413498,0.0566822508412357,0.110327942774333,0.68745634939656,0.295723109489452,0.295723109489453,0.275399144361135,0.275399144361137,0.556339000337688,0.252215114798567,0.218744017901739,0.21874401790174,0.621952297221361,0.833507829664709,0.833507829664709,0.682233833442347,0.682233833442348,0.674353905019127,0.674353905019127,0.791582848656731,0.791582848656729,0.304706779738025,0.304706779738025,0.108650536112763,0.749465250687741,0.749465250687736,0.302662466069471,0.302662466069471,0.346351334617059,0.34635133461706,0.346273938921611,0.346273938921611,0.60740032064395,0.60740032064395
