"pd","t220","t96","t219","t138","t293","t117","t14","t176","t82","t38","t112","t228","t284","t193","t86","t250","t153","t168","t232","t8","t200","t252","t73","t202","t160","t218"
0,0.981503299243304,0.426438863019543,0.460278012624554,0.986870086606233,0.762264753024298,0.243326910382674,0.628280826365974,0.252147593358562,0.984698491428589,0.257540025091835,0.528976321065908,0.310027467759777,0.172671817434134,0.21000296243926,0.220370034440075,0.131306893415707,0.978697139392772,0.97869713939277,0.525433619177363,0.525433619177362,0.535430534449487,0.615513521593814,0.518617751796551,0.518617751796546,0.536515206878496,0.536515206878496
1,0.953443660851786,0.352237259060702,0.379130076418306,0.964739623148313,0.65882016587745,0.210640250699017,0.528796171485455,0.217538868166641,0.959928731916385,0.22154846680172,0.433451484555424,0.261275120028719,0.156105660563234,0.185089283892444,0.193015444426901,0.123760094049708,0.947302966809744,0.94730296680974,0.430296432861921,0.43029643286192,0.443660857738884,0.515688902138938,0.430678419256624,0.43067841925662,0.44432522600747,0.44432522600747
2,0.921469927546015,0.311694377488158,0.334337752821248,0.938078507982045,0.58938149590591,0.193068723240339,0.46897713100377,0.198946507187904,0.930742327721045,0.202230304460765,0.379351409967776,0.235165731780781,0.147029624632075,0.171607960144938,0.17825184930669,0.119520349563886,0.912150283193487,0.912150283193481,0.376514483784168,0.376514483784167,0.3913249428864,0.456173967827137,0.380855137049059,0.380855137049055,0.391733356721113,0.391733356721113
3,0.887688170681156,0.284541701279027,0.304224529400416,0.908756999234137,0.537664887402614,0.181292448621104,0.42697007777975,0.186495797987709,0.899168067955007,0.189304315656342,0.342628848844643,0.217769492116373,0.140858263709419,0.162523185674863,0.168323286253887,0.116588829118093,0.875527171646265,0.875527171646257,0.340042238536585,0.340042238536585,0.355581165067896,0.414596435825796,0.346904697337634,0.346904697337631,0.355815204130538,0.355815204130538
4,0.85331500452429,0.264492017083815,0.281953732587161,0.877957409313156,0.496924350085051,0.172548869201937,0.395066306670427,0.177258274720257,0.866445605765511,0.179721232657709,0.315363341342891,0.204928765856565,0.136221772978885,0.155746553272553,0.160929715962612,0.114358131208712,0.838710786962133,0.838710786962124,0.31297831318397,0.31297831318397,0.328902233823523,0.383133498030061,0.321583697465874,0.321583697465871,0.329008982731387,0.329008982731387
5,0.819122356276387,0.24879790147978,0.264511642668562,0.846501266746745,0.46364270989402,0.16565532693803,0.369633977324351,0.169980224820518,0.83340638013532,0.17217586316871,0.29398241105704,0.19486085338895,0.132529497838521,0.150382190686904,0.155085409256513,0.112563196794843,0.802478258974645,0.802478258974635,0.29176377680041,0.291763776800409,0.307885383453779,0.358121381981837,0.301638120263366,0.301638120263363,0.307894826315734,0.307894826315734
6,0.785612445382506,0.236023892083135,0.250315058470744,0.814977249335577,0.435742197760631,0.160000614591029,0.348675761317526,0.164013803672942,0.800624038587382,0.165993930947025,0.276582280561923,0.18664467465684,0.129474194576899,0.145966133719107,0.150280313378294,0.111064840451362,0.76730943106538,0.76730943106537,0.274503879812236,0.274503879812236,0.290712495405933,0.337554200298308,0.285336022199009,0.285336022199006,0.290645054926961,0.290645054926961
7,0.75310945882369,0.225330638529146,0.238434825496594,0.783809240436526,0.411891885888198,0.155229479634781,0.330979050644404,0.158982537109999,0.768494589390991,0.160783709004889,0.262034841521757,0.179745446385235,0.126876228914727,0.142228164186074,0.1462176080966,0.10978104101266,0.733493025457596,0.733493025457585,0.260076656515066,0.260076656515066,0.276303331696771,0.320218480963975,0.271650998697797,0.271650998697795,0.276173614611441,0.276173614611442
8,0.721815300157748,0.216187440836321,0.228281930073484,0.753299403517365,0.39118875541879,0.151118007612631,0.315754718586274,0.154649187763615,0.737286604213679,0.156298416575775,0.249620102923056,0.173826599548272,0.124621766548676,0.138997634688655,0.142709986750464,0.108659466498252,0.701190522657826,0.701190522657815,0.247766428120356,0.247766428120355,0.263966654534085,0.305326849847038,0.259927419167417,0.259927419167415,0.263785503316997,0.263785503316997
9,0.691846385204878,0.20823880388623,0.219461067498037,0.723658277068917,0.372992976765143,0.147516406995168,0.302461960514543,0.15085508899297,0.707175599111692,0.152373049250971,0.238852495816497,0.168663365271169,0.122634277035836,0.136160177988966,0.139632004498715,0.107664722225312,0.670477555982921,0.67047755598291,0.237090744987718,0.237090744987717,0.253235121943741,0.292341038776945,0.249722566358254,0.249722566358252,0.253010823778183,0.253010823778183
10,0.663259062695521,0.201235754775389,0.211694997170111,0.6950269685249,0.356835517645103,0.144319785447953,0.290714959061881,0.147489160342155,0.678268750387581,0.148892120196659,0.229390259905604,0.164098634579352,0.120859922047687,0.1336355684064,0.136895722196016,0.106771773883731,0.64137184275388,0.64137184275387,0.227710163790178,0.227710163790178,0.243779021120964,0.280877857012662,0.240724375337718,0.240724375337716,0.243518061742123,0.243518061742123
11,0.636067628751466,0.194997635677744,0.204782341174074,0.667493989492447,0.342362964390938,0.141451980391774,0.280229466899024,0.144470765400314,0.650623124258649,0.145771815781304,0.220984503841322,0.160018543910571,0.119259440954422,0.131365457671853,0.134437220547936,0.105962276138579,0.613852449525373,0.613852449525363,0.219377554198822,0.219377554198822,0.23535769341486,0.270655516325654,0.232705209816341,0.232705209816339,0.235065248892592,0.235065248892592
12,0.61025726987889,0.189389515720509,0.198572577389606,0.641108202278495,0.329302893404935,0.138856035850688,0.270790467445285,0.141739616884463,0.624259296919058,0.142949488794394,0.213448836737888,0.156338104527715,0.11780335512386,0.129306143223836,0.132208651812254,0.105222392603172,0.587873229644071,0.587873229644061,0.211907890711436,0.211907890711436,0.227790528150008,0.261461209418749,0.225494305055329,0.225494305055327,0.227470797795476,0.227470797795476
13,0.585793424420961,0.184308164954392,0.192950482643516,0.615888832105989,0.317441245915439,0.136488304691316,0.262231684924005,0.139249525550868,0.599171587788512,0.140377153373004,0.20664038327979,0.152992309555842,0.116468988104641,0.127424084353517,0.130173313882779,0.104541435462868,0.563372236556171,0.563372236556161,0.205159375136718,0.205159375136718,0.220938799961661,0.253130609162782,0.218960535028523,0.218960535028521,0.220595238742092,0.220595238742092
14,0.562628566867552,0.179672985080996,0.187826058276456,0.59183321827846,0.306607042090045,0.134314641884961,0.254422103888975,0.136964365929951,0.575335757790611,0.138017287503759,0.200447440260593,0.149930399078928,0.115238536253797,0.125693004810784,0.128302468631155,0.103910981174956,0.540278313297623,0.540278313297613,0.199021166966848,0.199021166966848,0.214693841129172,0.245534405293979,0.213001202034865,0.213001202034863,0.214329326221151,0.214329326221151
