"pd","t225","t140","t175","t27","t172","t86","t275","t219","t66","t158","t231","t8","t59","t252","t90","t105","t125","t226","t242","t136","t238","t114"
0,0.999745612717576,0.532835542388088,0.999690591336706,0.464080178947442,0.999727992549061,0.999928734289263,0.999813110123519,0.999813110123519,0.999717255155743,0.999662945024584,0.641386439808682,0.641386439808684,0.999683309594244,0.999683309594244,0.999658347599241,0.999658347599241,0.999927570999541,0.999927570999541,0.999709721879241,0.999709721879241,0.999714313393672,0.999714313393672
1,0.998972175017455,0.508673953698581,0.998638568179708,0.450167819624249,0.998779934522563,0.999615408516365,0.999114645339155,0.999114645339155,0.998739400987567,0.998536508826656,0.602251022749392,0.602251022749394,0.998611744106764,0.998611744106764,0.998519741247852,0.998519741247852,0.999610143757159,0.999610143757159,0.998711195175824,0.998711195175824,0.998728425049055,0.998728425049055
2,0.997675727914715,0.494514246113993,0.996765181764279,0.442064186658164,0.997068032997725,0.99896946976104,0.997802723195,0.997802723195,0.996981385016701,0.996549865830545,0.578699594272202,0.578699594272204,0.99670873566012,0.99670873566012,0.996514773824076,0.996514773824076,0.998956952273039,0.998956952273039,0.996921416946099,0.996921416946099,0.996958118605212,0.996958118605212
3,0.995856926717082,0.484471775130236,0.994030909703624,0.436332961918736,0.994545532197449,0.997927374647291,0.995816725413733,0.995816725413733,0.99439865169914,0.993669367950686,0.561762882827796,0.561762882827797,0.993936381969918,0.993936381969918,0.993610816012453,0.993610816012453,0.997904475711577,0.997904475711577,0.994297432947167,0.994297432947167,0.994359487593219,0.994359487593219
4,0.99351910560246,0.476690438989276,0.990414354821158,0.431899079442971,0.991184471885694,0.99643872122894,0.993114955477714,0.993114955477714,0.990965225894429,0.989878732183845,0.548523771340301,0.548523771340303,0.990274689670544,0.990274689670544,0.989792455292791,0.989792455292791,0.996402425823122,0.996402425823122,0.990814691562209,0.990814691562209,0.9909071300351,0.9909071300351
5,0.990667768957641,0.470340842368031,0.985906673055776,0.428284383975641,0.986969757066608,0.994462013765886,0.989668465702875,0.989668465702875,0.986667888389826,0.985173834991604,0.537654533569129,0.537654533569131,0.985716101944498,0.985716101944498,0.985056359650751,0.985056359650751,0.994409475549718,0.994409475549718,0.986461303596772,0.986461303596772,0.986588358611505,0.986588358611504
6,0.987310341473665,0.464979731532405,0.980509076268108,0.425234146337923,0.981896525834899,0.991962758162379,0.985458341474237,0.985458341474237,0.981503584576705,0.979560355592435,0.528436294933033,0.528436294933034,0.980263040108086,0.980263040108086,0.979408947623612,0.979408947623612,0.991891339042489,0.991891339042489,0.981235483687985,0.981235483687985,0.98140062292561,0.981400622925609
7,0.983456001179835,0.460342212973059,0.974231385215381,0.422596494839937,0.97596866120931,0.988912468373875,0.980474231182379,0.98047423118238,0.975477949564114,0.973052380856069,0.520435157890265,0.520435157890266,0.973926471398376,0.973926471398376,0.972865003660283,0.972865003660283,0.988819769455837,0.988819769455837,0.975144086917977,0.975144086917977,0.975350039573572,0.975350039573572
8,0.979115543589397,0.456257296959679,0.96709101185123,0.420273574294769,0.969197778923056,0.985288101682559,0.974713415843564,0.974713415843564,0.968604295551576,0.965671397902381,0.513368807879495,0.513368807879496,0.966724894833294,0.966724894833294,0.965446673686593,0.965446673686593,0.985171988269393,0.985171988269393,0.968201597354962,0.968201597354962,0.968450380302147,0.968450380302147
9,0.974301257441243,0.452608177985132,0.959112128493982,0.418198635974351,0.961602426738482,0.981071714462936,0.96818013011843,0.96818013011843,0.960902803518215,0.957445452663094,0.50704312632586,0.507043126325861,0.958683508313444,0.958683508313444,0.957182622937827,0.957182622937827,0.98093033618841,0.98093033618841,0.960429315577878,0.960429315577878,0.960722262347252,0.960722262347251
10,0.969026803800829,0.449311520309795,0.950324916991991,0.416324114489316,0.953207376290576,0.976250233819948,0.960884999339734,0.960884999339734,0.9523998038145,0.948408378343542,0.501318852466635,0.501318852466636,0.949833453026365,0.949833453026365,0.948107261938403,0.948107261938403,0.976082040335831,0.976082040335831,0.951854632470795,0.951854632470795,0.952192426633146,0.952192426633145
11,0.963307094991096,0.446305783354662,0.940764848960668,0.414614919503066,0.944042950983132,0.970815286892241,0.95284452381568,0.952844523815681,0.943127091401425,0.938599051194138,0.496092659934154,0.496092659934155,0.940211087938745,0.940211087938745,0.938259999148801,0.938259999148801,0.970619039236353,0.970619039236353,0.942510336668218,0.942510336668218,0.942893050234079,0.942893050234078
12,0.957158172043936,0.443544230821926,0.930471976096125,0.413044424562656,0.934144363855111,0.964763053066859,0.944080574654032,0.944080574654032,0.933121251139207,0.928060656592134,0.491285755801653,0.491285755801654,0.929857274452149,0.929857274452149,0.92768450396058,0.92768450396058,0.964537830725729,0.964537830725729,0.932433932120859,0.932433932120859,0.932861068924332,0.932861068924332
13,0.950597080500534,0.440990535339688,0.919490224144399,0.411591948303623,0.923551055436995,0.958094117451967,0.934619883324178,0.934619883324179,0.922422984172685,0.916839961613384,0.486836674218924,0.486836674218925,0.918816665490216,0.918816665490216,0.916427976647063,0.916427976647063,0.957839321112383,0.957839321112383,0.921666957548728,0.921666957548728,0.922137501145736,0.922137501145735
14,0.943641745001175,0.438615901850533,0.907866692010722,0.41024110776408,0.912306030597835,0.950813311943146,0.924493517701598,0.924493517701599,0.911076435121032,0.904986597246988,0.482696537862133,0.482696537862134,0.907137000936518,0.907137000936518,0.904540428685331,0.904540428685331,0.950528661959,0.950528661959,0.910254307969808,0.910254307969808,0.910766773285163,0.910766773285162
15,0.936310843437247,0.436397120575258,0.895650961724041,0.408978704880985,0.900455198447313,0.942929535486969,0.913736343801489,0.91373634380149,0.899128524596587,0.89255235695652,0.478825837165435,0.478825837165436,0.894868415388713,0.894868415388713,0.892073980298825,0.892073980298825,0.942615066148565,0.942615066148565,0.898243563129846,0.898243563129846,0.898796050899408,0.898796050899407
16,0.928623681608138,0.434315210903816,0.88289442700462,0.407793951586788,0.888046722073052,0.934455548859668,0.902386476442726,0.902386476442727,0.886628294093008,0.879590519800901,0.475192178582968,0.475192178582969,0.882062766086602,0.882062766086602,0.879082183491657,0.879082183491657,0.934111598627852,0.934111598627852,0.885684330031311,0.885684330031311,0.886274582983463,0.886274582983461
17,0.920600069395139,0.432354453287615,0.869649648818607,0.406677917030725,0.875130386102789,0.925407742035995,0.890484724543079,0.890484724543081,0.873626271325674,0.866155206552597,0.471768671604275,0.471768671604275,0.868772989398194,0.868772989398194,0.865619379003774,0.865619379003774,0.925034939983607,0.925034939983607,0.872627607686161,0.872627607686161,0.873253067375258,0.873253067375256
18,0.912260199467866,0.43050168311862,0.855969746022802,0.40562312466256,0.861756990279292,0.915805874340012,0.878074038112629,0.87807403811263,0.860173864167606,0.852300776648709,0.468532748604444,0.468532748604445,0.855052493882627,0.855052493882627,0.851740094963768,0.851740094963768,0.915405123121118,0.915405123121118,0.859125182183476,0.859125182183476,0.859783045413868,0.859783045413867
19,0.903624529497254,0.428745765882784,0.841907828321316,0.40462325293399,0.847977776744384,0.905672789216556,0.86519896458077,0.865198964580771,0.846322790721455,0.838081272685986,0.465465285156594,0.465465285156595,0.840954597004248,0.840954597004248,0.837498493855252,0.837498493855252,0.905245244954584,0.905245244954584,0.845229059486589,0.845229059486589,0.845916333337305,0.845916333337303
20,0.894713668776583,0.427077200471378,0.827516477498533,0.403672909207586,0.833843897774613,0.895034106734247,0.851905122064766,0.851905122064768,0.832124552028924,0.823549917740892,0.462549933401542,0.462549933401543,0.826532011270958,0.826532011270958,0.822947872958437,0.822947872958437,0.894581156279509,0.894581156279509,0.830990942280172,0.830990942280172,0.83170449684621,0.831704496846209
21,0.885548270058107,0.425487814847537,0.812847281428875,0.402767456389983,0.819405929467054,0.883917897882898,0.838238696715571,0.838238696715573,0.817629952614185,0.808758669222719,0.459772609378234,0.459772609378235,0.811836384079334,0.811836384079334,0.808140221841591,0.808140221841591,0.883441133935279,0.883441133935279,0.816461755845526,0.816461755845526,0.817198373941395,0.817198373941393
22,0.876148927305003,0.423970529415657,0.797950423823759,0.401902878194323,0.804713435474623,0.872354345394949,0.824245970481722,0.824245970481723,0.802888672621068,0.793757831374372,0.457121093507126,0.457121093507127,0.796917893997144,0.796917893997144,0.79312583887868,0.79312583887868,0.871855540017168,0.871855540017168,0.80169122648417,0.80169122648417,0.802447649699115,0.802447649699113
23,0.866536079942208,0.422519170791614,0.782874331160049,0.401075673145352,0.789814583443467,0.860375396228417,0.809972884617876,0.809972884617877,0.787948893840183,0.778595727013702,0.454584715509949,0.454584715509949,0.781824904698656,0.781824904698656,0.777953007250248,0.777953007250248,0.859856473288367,0.859856473288367,0.78672751453894,0.78672751453894,0.787500485182588,0.787500485182585
24,0.856729924070095,0.421128323619653,0.767665376817102,0.40028277027169,0.774755815394502,0.848014411021781,0.79546464311984,0.795464643119842,0.77285698051279,0.763318427724465,0.452154103210585,0.452154103210586,0.766603676362008,0.766603676362008,0.762667729508988,0.762667729508988,0.847477418099356,0.847477418099356,0.771616902657254,0.771616902657254,0.772403201281781,0.772403201281779
25,0.846750330985458,0.419793211475955,0.752367641184222,0.399521461370798,0.759581571980573,0.83530581579406,0.780765359068837,0.780765359068838,0.757657214503731,0.747969540504046,0.449820980274658,0.449820980274659,0.751298133091489,0.751298133091489,0.747313518602025,0.747313518602025,0.834752896069443,0.834752896069443,0.756403538661049,0.756403538661049,0.757200016985513,0.757200016985511
26,0.836616773238133,0.418509600267605,0.737022725420726,0.398789346085978,0.744334069385083,0.822284760943125,0.765917745677799,0.7659177456778,0.742391583297642,0.73259004788019,0.447578001871724,0.447578001871725,0.735949683872158,0.735949683872158,0.73193124226239,0.73193124226239,0.82171812555145,0.82171812555145,0.741129231271397,0.741129231271397,0.741932840460974,0.741932840460972
27,0.826348258341281,0.417273719214689,0.721669615674409,0.398084286993986,0.729053126636049,0.808986792221451,0.750962852702922,0.750962852702923,0.727099618316488,0.717218197730538,0.445418620033445,0.445418620033445,0.720597093715261,0.720597093715261,0.716559016920572,0.716559016920572,0.808408693515122,0.808408693515122,0.725833296006161,0.725833296006161,0.726641110370589,0.726641110370587
28,0.815963270150704,0.416082195710728,0.706344593894804,0.397404372591227,0.713776040305792,0.795447537872088,0.735939847853489,0.73593984785349,0.711818280293563,0.701889438473567,0.443336972491243,0.443336972491243,0.705276401012255,0.705276401012255,0.701232146739157,0.701232146739157,0.79486024397936,0.79486024397936,0.710552447835401,0.710552447835401,0.711361684105091,0.711361684105089
29,0.805479717835126,0.41493200123633,0.691081190908406,0.396747886568678,0.698537502953682,0.781702415520567,0.720885841929639,0.720885841929641,0.696581887869313,0.686636394934676,0.441327790244463,0.441327790244464,0.690020876674521,0.690020876674521,0.685983103025625,0.685983103025625,0.781108186529845,0.781108186529845,0.695320736639702,0.695320736639702,0.696128769054011,0.696128769054008
