"1","2","3","4","5","6","7","kingdom","phylum","class","order","family","genus","species"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus obliquus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lysiloma","Lysiloma latisiliquum"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus obliquus","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Lindera","Lindera benzoin"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus obliquus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","Castanea dentata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus obliquus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Trema","Trema micrantha"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus obliquus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","Castanea mollissima"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus obliquus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Cedrela","Cedrela odorata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus obliquus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Burseraceae","Bursera","Bursera simaruba"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus americana"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Gardenia","Gardenia angusta"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Carya","Carya glabra"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Carya","Carya glabra"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Carya","Carya illinoensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Carya","Carya illinoensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus","Cupressus leylandii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","Terminalia","Terminalia myriocarpa"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Juglans","Juglans nigra"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Carya","Carya ovata"
